match_id,map_number,mode,map_name,team,opponent,player_slot,player_name,map_winner,kills,deaths,assists,non_traded_kills,highest_streak,damage,hill_time_sec,avg_hill_time_sec,obj_kills,contested_hill_time_sec,kills_per_hill,dmg_per_hill,data_source,is_lan
2026_M1Q1S4_TOR_MIA,1,HP,Scar,MIA,TOR,5,TRAIX,TOR,11,22,7.0,6.0,3.0,1722,11,1,4.0,5,1.57,221.71,YT,0
2026_M1Q1S4_TOR_MIA,1,HP,Scar,MIA,TOR,6,RENKOR,TOR,19,20,3.0,12.0,4.0,2223,47,6,9.0,1,2.42,282.0,YT,0
2026_M1Q1S4_TOR_MIA,1,HP,Scar,MIA,TOR,7,SUPER,TOR,17,21,7.0,10.0,3.0,2240,2,0,1.0,0,2.14,293.0,YT,0
2026_M1Q1S4_TOR_MIA,1,HP,Scar,MIA,TOR,8,METTALZ,TOR,17,23,6.0,13.0,3.0,2553,28,4,4.0,5,2.28,321.42,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,TOR,MIA,1,REEAL,MIA,17,22,11.0,16.0,6.0,2712,44,4,3.0,26,1.7,263.9,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,TOR,MIA,2,JOEDECEIVES,MIA,25,28,9.0,15.0,5.0,3571,56,5,8.0,32,2.3,357.1,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,TOR,MIA,3,INSIGHT,MIA,22,17,4.0,19.0,6.0,2511,73,7,8.0,3,2.09,227.4,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,TOR,MIA,4,CLEANX,MIA,19,31,8.0,5.0,2.0,3092,72,7,9.0,-6,1.7,289.2,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,MIA,TOR,5,RENKOR,MIA,22,17,8.0,17.0,5.0,3123,72,7,8.0,10,2.0,292.0,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,MIA,TOR,6,TRAIX,MIA,25,20,6.0,16.0,5.0,3467,82,7,7.0,17,2.3,323.2,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,MIA,TOR,7,SUPER,MIA,21,20,9.0,17.0,6.0,2776,97,8,9.0,27,1.9,248.8,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,MIA,TOR,8,METTALZ,MIA,30,26,7.0,20.0,5.0,3964,75,7,12.0,24,2.6,354.7,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,VAN,PAR,1,ABE,PAR,24,30,15.0,18.0,3.0,3739,43,4,6.0,8,2.4,373.9,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,VAN,PAR,2,LUNARZ,PAR,20,29,15.0,10.0,3.0,3517,28,2,9.0,5,1.9,342.7,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,VAN,PAR,3,GWINN,PAR,36,30,4.0,22.0,7.0,4038,54,5,19.0,17,3.6,403.8,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,VAN,PAR,4,LQGEND,PAR,25,27,11.0,16.0,3.0,2779,51,5,7.0,18,2.5,270.6,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,PAR,VAN,5,ENVOY,PAR,23,30,12.0,15.0,3.0,2966,75,7,6.0,9,2.09,285.0,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,PAR,VAN,6,NEPTUNE,PAR,30,26,13.0,21.0,6.0,3888,69,6,9.0,12,2.9,378.8,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,PAR,VAN,7,SIB,PAR,33,28,8.0,23.0,5.0,4095,75,7,16.0,22,3.2,399.5,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,PAR,VAN,8,GHOSTY,PAR,30,22,17.0,20.0,8.0,4178,73,7,10.0,16,2.9,417.8,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,MIN,NY,1,MAMBA,NY,21,34,20.0,13.0,4.0,3382,62,5,9.0,6,1.81,298.36,YT,0
